week,day,time_of_day,class_type,faculty,school,joint,degree,enrollment,class_duration,class_type_new
1,1,1,0,2,17,0,0,320,1,4
1,1,1,0,2,16,1,2,447,2,4
0,3,1,0,2,16,0,2,459,2,5
4,0,2,0,5,15,0,2,419,1,3
3,2,0,0,5,15,0,2,419,1,4
7,2,2,0,2,16,0,2,409,1,3
5,2,0,0,0,29,0,2,354,2,4
11,1,1,0,2,16,1,2,447,2,3
5,3,2,0,2,16,0,2,452,2,4
5,4,0,0,2,16,0,2,457,1,4
8,1,0,0,2,17,0,2,424,2,4
7,4,1,0,6,12,0,2,381,2,3
8,1,1,0,2,16,1,2,447,2,3
5,4,1,0,5,28,0,2,385,1,3
2,2,1,0,6,7,1,2,304,1,4
10,2,2,0,2,16,0,2,409,1,3
4,0,0,0,5,15,0,2,386,1,3
4,0,0,0,2,16,1,2,455,2,4
6,4,2,0,5,8,0,2,447,1,3
3,4,2,0,5,8,0,2,447,1,4
10,0,2,0,5,8,0,2,291,2,3
11,1,2,0,2,16,0,2,457,2,3
7,4,2,0,2,16,0,2,409,2,4
7,1,0,0,5,28,0,2,403,1,3
3,4,1,0,5,28,0,2,385,1,4
8,1,2,0,2,16,0,2,457,2,4
7,4,1,0,5,28,0,2,385,1,4
5,4,0,0,5,28,0,2,403,1,3
10,3,2,0,2,16,0,2,452,2,3
10,2,1,0,6,7,1,2,304,1,3
1,3,1,2,2,21,0,2,55,1,3
3,4,1,0,6,12,0,2,381,2,3
5,2,0,0,5,15,0,2,419,1,3
5,3,1,0,2,16,0,2,459,2,4
6,3,0,0,6,11,0,2,366,2,4
8,1,2,0,5,15,0,2,419,1,4
10,4,0,0,5,28,0,2,403,1,3
3,4,0,0,5,28,0,2,403,1,3
5,4,2,0,2,16,0,2,409,2,4
10,3,1,0,2,16,0,2,459,2,3
0,0,2,0,5,8,0,2,291,2,4
5,1,1,0,2,16,1,2,447,2,3
7,0,0,0,5,15,0,2,386,1,4
7,4,0,0,5,15,0,2,386,1,4
6,4,1,0,6,12,0,2,381,2,3
11,1,1,0,2,17,0,0,320,1,4
7,4,0,0,2,16,0,2,457,1,4
5,3,0,0,6,11,0,2,366,2,4
5,4,0,0,5,15,0,2,386,1,4
10,4,1,0,5,28,0,2,385,1,2
1,3,0,0,6,11,0,2,366,2,4
0,3,0,0,6,11,0,2,366,2,4
10,0,2,0,5,15,0,2,419,1,2
5,1,2,0,2,16,0,2,457,2,4
1,3,2,0,5,8,0,2,381,2,5
3,1,0,0,5,28,0,2,403,1,4
5,1,0,0,5,28,0,2,403,1,3
