week,day,time_of_day,class_type,faculty,school,joint,status,degree,enrollment,class_duration
3,1,0,0,5,28,0,4,2,403,1
5,1,0,0,5,28,0,4,2,403,1
4,0,2,0,5,8,0,4,2,291,2
4,2,2,0,5,28,0,2,2,271,1
4,2,1,0,5,28,0,2,2,385,1
1,1,2,0,5,15,0,4,2,419,1
5,4,1,0,6,12,0,4,2,381,2
0,0,0,0,2,16,1,4,2,455,2
11,0,0,0,5,15,0,4,2,386,1
10,4,0,0,5,15,0,4,2,386,1
11,1,0,0,2,17,0,4,2,424,2
4,2,0,0,5,8,0,4,2,447,1
7,2,2,0,2,16,0,4,2,452,1
6,4,2,0,2,16,0,4,2,409,2
2,0,2,0,5,8,0,4,2,291,2
7,3,0,0,6,11,0,4,2,366,2
7,1,2,0,2,16,0,4,2,457,2
3,3,2,0,2,16,0,4,2,452,2
7,4,2,0,5,8,0,4,2,447,1
7,4,3,0,6,22,0,4,0,62,1
10,2,0,0,5,15,0,4,2,419,1
10,2,0,0,0,29,0,4,2,354,2
4,2,1,0,6,7,1,2,2,304,1
6,4,0,0,5,15,0,4,2,386,1
2,2,2,0,5,28,0,2,2,271,1
2,2,1,0,5,28,0,2,2,385,1
10,4,2,0,2,16,0,4,2,409,2
11,0,2,0,5,8,0,4,2,291,2
10,4,3,0,6,22,0,4,0,62,1
7,1,1,0,2,17,0,4,0,320,1
7,4,0,0,5,28,0,4,2,403,1
7,3,2,0,5,8,0,4,2,381,2
2,2,0,0,5,8,0,4,2,447,1
5,4,2,0,5,8,0,4,2,447,1
10,0,0,0,5,15,0,4,2,386,1
11,1,2,0,5,15,0,4,2,419,1
1,1,0,0,5,28,0,4,2,403,1
7,3,2,0,2,16,0,4,2,452,2
6,4,0,0,2,16,0,4,2,457,1
10,4,2,0,5,8,0,4,2,447,1
2,0,0,0,2,16,1,4,2,455,2
10,4,1,0,6,12,0,4,2,381,2
10,4,0,0,2,16,0,4,2,457,1
10,2,2,0,2,16,0,4,2,452,1
10,3,2,0,5,8,0,4,2,381,2
7,1,1,0,2,16,1,4,2,447,2
7,3,1,0,2,16,0,4,2,459,2
1,1,2,0,2,16,0,4,2,457,2
2,4,2,0,5,4,0,4,2,122,1
2,4,0,0,2,21,0,4,2,219,1
4,4,1,0,5,6,0,4,2,185,1
9,4,1,0,5,4,0,4,2,99,2
8,4,1,0,5,6,0,4,2,185,1
4,4,2,0,2,17,0,4,2,134,2
11,4,1,0,5,4,0,4,2,99,2
1,0,0,0,5,28,0,2,2,128,1
11,4,0,0,2,21,0,4,2,219,1
4,4,0,0,0,29,0,4,2,88,2
6,2,2,0,0,29,0,4,2,115,2
9,4,1,0,5,6,0,4,2,185,1
9,4,0,0,2,21,0,4,2,219,1
0,1,2,0,4,9,0,4,2,222,1
8,4,0,0,2,21,0,4,2,219,1
1,2,1,0,5,6,1,4,2,183,1
2,4,1,0,5,4,0,4,2,99,2
8,0,1,0,5,6,0,4,2,185,1
2,4,2,0,2,17,0,4,2,134,2
8,4,0,0,0,29,0,4,2,88,2
1,0,2,0,2,21,0,4,2,188,1
1,0,2,0,5,8,0,4,2,151,2
1,0,1,0,5,6,0,4,2,185,1
9,4,0,0,0,29,0,4,2,88,2
8,1,2,0,4,9,0,4,2,222,1
9,4,2,0,5,4,0,4,2,122,1
1,0,0,0,0,29,0,4,2,94,2
11,4,2,0,5,4,0,4,2,122,1
12,1,2,0,4,9,0,4,2,222,1
8,4,2,0,5,4,0,4,2,122,1
1,2,0,0,1,0,0,4,2,197,1
11,4,0,0,0,29,0,4,2,88,2
4,3,2,0,2,25,1,1,2,214,4
5,2,0,0,5,28,0,4,2,81,1
2,3,1,0,0,31,0,4,2,167,1
2,3,2,0,2,25,1,1,2,214,4
5,2,3,0,2,16,1,4,0,126,3
3,2,0,0,5,28,0,4,2,81,1
3,2,3,0,2,16,1,4,0,126,3
1,4,1,0,5,4,0,4,2,99,2
6,4,2,0,5,4,0,4,2,122,1
2,4,1,0,5,6,0,4,2,185,1
2,4,0,0,0,29,0,4,2,88,2
4,3,3,0,2,16,0,4,0,234,3
4,1,2,0,4,9,0,4,2,222,1
5,2,2,0,0,29,0,4,2,115,2
3,0,2,0,5,8,0,4,2,151,2
2,1,2,0,4,9,0,4,2,222,1
8,3,2,0,2,25,1,1,2,214,4
7,2,0,0,5,28,0,4,2,81,1
11,3,2,0,2,25,1,1,2,214,4
11,1,2,0,4,9,0,4,2,222,1
4,4,0,0,2,21,0,4,2,219,1
12,2,3,0,2,16,1,4,0,126,3
4,3,1,0,0,31,0,4,2,167,1
1,2,2,0,0,29,0,4,2,115,2
4,1,1,0,5,6,1,4,2,183,1
8,0,2,0,5,8,0,4,2,151,2
9,0,2,0,5,8,0,4,2,151,2
2,1,0,0,0,20,0,4,2,173,2
6,1,2,0,4,9,0,4,2,222,1
3,2,2,0,0,29,0,4,2,115,2
6,1,0,0,0,20,0,4,2,173,2
1,4,2,0,5,4,0,4,2,122,1
7,2,3,0,2,16,1,4,0,126,3
12,2,0,0,1,0,0,4,2,197,1
0,4,0,0,0,29,0,4,2,88,2
9,0,1,0,5,6,0,4,2,185,1
4,1,3,0,2,16,0,4,0,95,3
7,2,1,0,5,6,1,4,2,183,1
5,2,0,0,1,0,0,4,2,197,1
4,1,0,0,0,20,0,4,2,173,2
3,0,0,0,5,28,0,2,2,128,1
2,3,3,0,2,16,0,4,0,234,3
0,1,0,0,0,20,0,4,2,173,2
6,4,1,0,5,4,0,4,2,99,2
0,1,3,0,2,16,0,4,0,95,3
8,1,3,0,2,16,0,4,0,95,3
1,4,0,0,2,21,0,4,2,219,1
8,4,1,0,5,4,0,4,2,99,2
5,0,2,0,5,8,0,4,2,151,2
5,0,2,0,2,21,0,4,2,188,1
7,2,0,0,1,0,0,4,2,197,1
5,2,1,0,5,6,1,4,2,183,1
6,3,3,0,2,16,0,4,0,234,3
9,3,2,0,2,25,1,1,2,214,4
2,1,3,0,2,16,0,4,0,95,3
3,0,0,0,0,29,0,4,2,94,2
10,1,1,0,5,6,1,4,2,183,1
9,0,0,0,0,29,0,4,2,94,2
3,2,1,0,5,6,1,4,2,183,1
2,1,2,0,6,19,1,4,1,109,2
0,4,2,0,5,4,0,4,2,122,1
6,4,0,0,0,29,0,4,2,88,2
4,4,2,0,5,4,0,4,2,122,1
7,2,2,0,0,29,0,4,2,115,2
3,2,0,0,1,0,0,4,2,197,1
6,1,3,0,2,16,0,4,0,95,3
8,2,2,0,0,29,0,4,2,115,2
7,4,1,0,5,6,0,4,2,185,1
5,4,0,0,0,29,0,4,2,88,2
0,4,0,0,2,21,0,4,2,219,1
0,4,1,0,5,6,0,4,2,185,1
5,0,1,0,5,6,0,4,2,185,1
10,2,3,0,2,16,1,4,0,126,3
9,3,3,0,2,16,0,4,0,234,3
2,1,1,0,5,6,1,4,2,183,1
8,2,1,0,5,6,1,4,2,183,1
6,1,1,0,5,6,1,4,2,183,1
8,0,0,0,0,29,0,4,2,94,2
6,3,2,0,2,25,1,1,2,214,4
3,4,1,0,5,6,0,4,2,185,1
11,3,3,0,2,16,0,4,0,234,3
10,1,2,0,6,19,1,4,1,109,2
5,4,1,0,5,6,0,4,2,185,1
10,3,1,0,0,31,0,4,2,167,1
0,4,2,0,2,17,0,4,2,134,2
5,4,1,0,5,4,0,4,2,99,2
1,4,2,0,2,17,0,4,2,134,2
5,3,1,0,0,31,0,4,2,167,1
3,0,2,0,2,21,0,4,2,188,1
3,4,2,0,2,17,0,4,2,134,2
1,2,3,0,2,16,1,4,0,126,3
5,0,0,0,5,28,0,2,2,128,1
9,2,1,0,5,6,1,4,2,183,1
10,4,1,0,5,4,0,4,2,99,2
1,1,2,0,6,19,1,4,1,109,2
10,3,3,0,2,16,0,4,0,234,3
10,3,2,0,2,25,1,1,2,214,4
1,4,0,0,0,29,0,4,2,88,2
11,1,2,0,6,19,1,4,1,109,2
5,3,3,0,2,16,0,4,0,234,3
3,4,0,0,0,29,0,4,2,88,2
0,1,1,0,5,6,1,4,2,183,1
7,1,2,0,4,9,0,4,2,222,1
7,3,2,0,2,25,1,1,2,214,4
5,3,2,0,2,25,1,1,2,214,4
8,1,1,0,5,6,1,4,2,183,1
9,2,0,0,1,0,0,4,2,197,1
11,2,1,0,5,6,1,4,2,183,1
1,1,1,0,5,6,1,4,2,183,1
10,2,2,0,0,29,0,4,2,115,2
7,0,1,0,5,6,0,4,2,185,1
9,3,1,0,0,31,0,4,2,167,1
0,2,0,0,5,28,0,4,2,81,1
7,1,0,0,0,20,0,4,2,173,2
11,1,3,0,2,16,0,4,0,95,3
6,1,2,0,6,19,1,4,1,109,2
7,0,0,0,0,29,0,4,2,94,2
10,4,0,0,2,21,0,4,2,219,1
7,4,0,0,0,29,0,4,2,88,2
0,0,1,0,5,6,0,4,2,185,1
10,1,3,0,2,16,0,4,0,95,3
2,0,1,0,5,6,0,4,2,185,1
0,3,2,0,2,25,1,1,2,214,4
12,4,1,0,5,4,0,4,2,99,2
3,1,2,0,4,9,0,4,2,222,1
7,1,3,0,2,16,0,4,0,95,3
3,0,1,0,5,6,0,4,2,185,1
3,3,2,0,2,25,1,1,2,214,4
5,1,0,0,0,20,0,4,2,173,2
5,1,2,0,4,9,0,4,2,222,1
8,1,2,0,6,19,1,4,1,109,2
11,1,0,0,0,20,0,4,2,173,2
0,0,2,0,2,21,0,4,2,188,1
3,4,2,0,5,4,0,4,2,122,1
2,2,1,0,5,6,1,4,2,183,1
5,1,2,0,6,19,1,4,1,109,2
7,0,2,0,2,21,0,4,2,188,1
11,1,1,0,5,6,1,4,2,183,1
3,3,3,0,2,16,0,4,0,234,3
4,1,2,0,6,19,1,4,1,109,2
0,2,2,0,0,29,0,4,2,115,2
6,3,1,0,0,31,0,4,2,167,1
10,4,2,0,5,4,0,4,2,122,1
1,2,0,0,5,28,0,4,2,81,1
8,2,0,0,5,28,0,4,2,81,1
3,4,1,0,5,4,0,4,2,99,2
5,4,0,0,2,21,0,4,2,219,1
10,2,0,0,1,0,0,4,2,197,1
4,0,2,0,5,8,0,4,2,151,2
0,2,0,0,1,0,0,4,2,197,1
7,1,1,0,5,6,1,4,2,183,1
7,3,1,0,0,31,0,4,2,167,1
4,2,0,0,5,28,0,4,2,81,1
6,4,1,0,5,6,0,4,2,185,1
7,0,0,0,5,28,0,2,2,128,1
10,0,0,0,0,29,0,4,2,94,2
11,0,1,0,5,6,0,4,2,185,1
2,0,2,0,2,21,0,4,2,188,1
5,4,2,0,5,4,0,4,2,122,1
10,2,1,0,5,6,1,4,2,183,1
3,1,0,0,0,20,0,4,2,173,2
10,0,2,0,2,21,0,4,2,188,1
3,1,3,0,2,16,0,4,0,95,3
10,0,2,0,5,8,0,4,2,151,2
4,0,0,0,5,28,0,2,2,128,1
4,0,0,0,0,29,0,4,2,94,2
7,3,3,0,2,16,0,4,0,234,3
0,1,2,0,6,19,1,4,1,109,2
10,4,0,0,0,29,0,4,2,88,2
0,0,2,0,5,8,0,4,2,151,2
0,0,0,0,5,28,0,2,2,128,1
2,0,2,0,5,8,0,4,2,151,2
3,3,1,0,0,31,0,4,2,167,1
0,2,1,0,5,6,1,4,2,183,1
4,0,2,0,2,21,0,4,2,188,1
11,0,0,0,0,29,0,4,2,94,2
7,1,2,0,6,19,1,4,1,109,2
1,3,1,0,0,31,0,4,2,167,1
0,2,3,0,2,16,1,4,0,126,3
7,0,2,0,5,8,0,4,2,151,2
2,2,0,0,5,28,0,4,2,81,1
1,3,2,0,2,25,1,1,2,214,4
2,0,0,0,0,29,0,4,2,94,2
0,3,1,0,0,31,0,4,2,167,1
4,0,1,0,5,6,0,4,2,185,1
5,1,3,0,2,16,0,4,0,95,3
4,2,3,0,2,16,1,4,0,126,3
0,0,0,0,0,29,0,4,2,94,2
1,3,3,0,2,16,0,4,0,234,3
1,1,2,0,4,9,0,4,2,222,1
10,4,1,0,5,6,0,4,2,185,1
10,1,0,0,0,20,0,4,2,173,2
0,3,3,0,2,16,0,4,0,234,3
4,2,1,0,5,6,1,4,2,183,1
10,0,1,0,5,6,0,4,2,185,1
3,1,1,0,5,6,1,4,2,183,1
10,1,2,0,4,9,0,4,2,222,1
4,2,0,0,1,0,0,4,2,197,1
11,2,2,0,0,29,0,4,2,115,2
5,1,1,0,5,6,1,4,2,183,1
7,4,0,0,2,21,0,4,2,219,1
2,2,0,0,1,0,0,4,2,197,1
11,2,3,0,2,16,1,4,0,126,3
